                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2053,                  3.642,                  4.092,                0.00169,                    0.5,                0.31403,                0.09102,                   2.96,                 3.5958,                 4.0171,             0.00054477,             0.00054477,             0.00054477
                      2,                  2.764,                 3.0999,                 3.3885,                0.00171,                    0.5,                0.02877,                0.01123,                 3.4765,                 3.6079,                 4.2143,              0.0010732,              0.0010732,              0.0010732
                      3,                 2.4393,                 2.6351,                 2.9185,                0.60343,                0.26642,                0.18342,                0.07091,                 2.2104,                 2.6213,                  2.753,              0.0015741,              0.0015741,              0.0015741
                      4,                 2.1584,                 2.3235,                 2.6059,                0.35844,                 0.4766,                0.41577,                0.18756,                 2.1957,                 2.1648,                 2.5437,              0.0015432,              0.0015432,              0.0015432
                      5,                 1.9893,                 2.1159,                 2.4492,                 0.3239,                0.62777,                0.42857,                0.22316,                 1.9419,                 1.9523,                  2.409,               0.001502,               0.001502,               0.001502
                      6,                 1.8062,                 1.9061,                 2.2793,                0.44919,                0.65809,                0.54654,                0.32025,                 1.4992,                 2.0526,                 2.0946,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.6217,                 1.7917,                 2.1172,                0.46537,                0.60119,                0.48218,                0.27832,                 1.2586,                 1.6748,                 1.7689,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.4532,                 1.6241,                 1.9649,                0.69709,                0.68173,                0.75264,                 0.5665,                 1.0874,                 1.3248,                 1.6237,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.3191,                 1.4799,                 1.8491,                0.77202,                0.77064,                0.74339,                0.54691,                0.97223,                 1.1726,                 1.6235,              0.0013369,              0.0013369,              0.0013369
                     10,                  1.202,                 1.2822,                 1.6852,                0.80999,                0.80598,                0.79157,                0.61591,                 1.0286,                0.95108,                 1.4541,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.0673,                 1.1186,                 1.5589,                0.85425,                0.82569,                0.81782,                0.67867,                0.73188,                 0.8238,                 1.1627,              0.0012544,              0.0012544,              0.0012544
                     12,                0.98588,                 1.0724,                  1.489,                0.84338,                0.82152,                0.82553,                0.68028,                0.67511,                0.78524,                 1.1127,              0.0012132,              0.0012132,              0.0012132
                     13,                0.88649,                0.95007,                 1.4132,                0.87213,                0.81651,                0.83512,                0.67371,                0.62594,                0.78445,                 1.0519,              0.0011719,              0.0011719,              0.0011719
                     14,                0.83882,                0.90776,                 1.3526,                0.88509,                0.80808,                0.84507,                0.72241,                0.57472,                0.72054,                0.96871,              0.0011306,              0.0011306,              0.0011306
                     15,                0.80081,                0.85891,                 1.3095,                0.88465,                0.84404,                0.86071,                0.74594,                0.51229,                 0.6618,                0.86864,              0.0010894,              0.0010894,              0.0010894
                     16,                0.76484,                0.83597,                 1.2615,                0.91167,                0.78909,                0.85956,                 0.7341,                  0.579,                0.71733,                0.98398,              0.0010481,              0.0010481,              0.0010481
                     17,                0.77112,                0.84322,                 1.2564,                0.88446,                0.81651,                0.85437,                0.74785,                0.59404,                0.66778,                0.94351,              0.0010069,              0.0010069,              0.0010069
                     18,                0.69448,                0.78551,                 1.2164,                0.87094,                0.84244,                0.86868,                0.76208,                0.52336,                0.65509,                 0.8594,             0.00096561,             0.00096561,             0.00096561
                     19,                0.65924,                0.77845,                 1.1677,                0.87588,                0.82569,                0.87618,                 0.7805,                 0.4766,                0.63956,                0.79355,             0.00092435,             0.00092435,             0.00092435
